term syriaca-headword.en	***Categories	***Source	***currently in use	New URI	idno URI	idno URI	idno URI	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	term syriaca-headword.de	term syriaca-headword.fr	term syriaca-headword.grc	gloss.grc	term syriaca-headword.la	gloss.la	term syriaca-headword.ru	term syriaca-headword.swe	gloss.swe	term syriaca-headword.syr	gloss.syr	term syriaca-headword.tru	gloss.tru	note abstract	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	***[revisit]	***[NOTES]		
Agnoetes		CBSC	Agnoetes	agnoetes																											http://syriaca.org/keyword/christianity																																									
Agriculture		CBSC	agriculture, farming	agriculture	http://id.loc.gov/authorities/subjects/sh85002415			farming	husbandry																									http://syriaca.org/keyword/economics																																						
Akkadian language		CBSC	Akkadian	akkadian-language	http://id.loc.gov/authorities/subjects/sh85003070		ISO 639-2: akk	Accadian language	Assyrian language	Assyro-Babylonian language	Babylonian language																																						http://syriaca.org/keyword/linguistics																							
Alchemy		CBSC	alchemy	alchemy	http://id.loc.gov/authorities/subjects/sh85003265			philosophers' egg	philosophers' stone	transmutation of metals																																																						http://syriaca.org/keyword/techne								
Allegory		CBSC	allegory	allegory	http://id.loc.gov/authorities/subjects/sh85003642																																												http://syriaca.org/keyword/linguistics																							
Alphabets		CBSC	alphabet	alphabets	http://id.loc.gov/authorities/subjects/sh85003819			letters																																									http://syriaca.org/keyword/linguistics																			http://syriaca.org/keyword/writing				
Altars		CBSC	altar	altars	http://id.loc.gov/authorities/subjects/sh85003895																																																						http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual												
Amanuensis		new		amanuensis				secretary	literary assistant	scribe																																																										http://syriaca.org/keyword/writing				
Amulets		CBSC	amulets	amulets	http://id.loc.gov/authorities/subjects/sh85004685			charms	talismans																																													http://syriaca.org/keyword/objects					http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual												
Anaphoras		CBSC	anaphoras	anaphoras	http://id.loc.gov/authorities/subjects/sh85045511			Prayer of Consecration (Liturgy)	Eucharistic Prayers																																										http://syriaca.org/keyword/liturgy																					
Anathema		CBSC	anathema	anathema	http://id.loc.gov/authorities/subjects/sh85046255			excommunication	expulsion																																																		http://syriaca.org/keyword/religion				http://syriaca.org/keyword/speech-acts									
Anchorites		CBSC	anchorites	anchorites	http://id.loc.gov/authorities/subjects/sh85060417			eremites	hermits	ascetics	anachoret																																										http://syriaca.org/keyword/monasticism		http://syriaca.org/keyword/occupations																	
Angelology		CBSC	angelology	angelology	http://id.loc.gov/authorities/subjects/sh85005001	http://d-nb.info/gnd/4136179-9																																																					http://syriaca.org/keyword/religion													
Angels		CBSC	angels	angels	http://id.loc.gov/authorities/subjects/sh85005001																																																			http://syriaca.org/keyword/persons			http://syriaca.org/keyword/religion													
Anglicans		CBSC	Anglicans	anglicans	http://id.loc.gov/authorities/subjects/sh85005054																										http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																													
Animals	category	CBSC	animals	animals	http://id.loc.gov/authorities/subjects/sh85005249			beasts	fauna	wildlife																																																														
Annunciation		CBSC	Annunciation	annunciation	http://id.loc.gov/authorities/subjects/sh85081693																										http://syriaca.org/keyword/christianity																																									
Anointing		CBSC	anointing	anointing	http://id.loc.gov/authorities/subjects/sh85139572			annointing	unction																		Used for the ritual act of apply consecrated oil to a person and metaphorical extensions of that act.				http://syriaca.org/keyword/christianity																												http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual												
Anonymous		CBSC	anonymous	anonymous	http://id.loc.gov/authorities/subjects/sh86003159			anonymous writings	writings of unknown authors	anonymity																																								http://syriaca.org/keyword/literature																		http://syriaca.org/keyword/writing				
Anthology		CBSC	anthology	anthology	http://id.loc.gov/authorities/subjects/sh99001634			literary anthologies	literary collections																																									http://syriaca.org/keyword/literature																						
Anthropology		CBSC	anthropology	anthropology	http://id.loc.gov/authorities/subjects/sh85005581																																		http://syriaca.org/keyword/fields-of-study																																	
Anti-Armenian		CBSC	anti-Armenian	anti-armenian																																						http://syriaca.org/keyword/ideology																														
Anti-Chalcedonian		CBSC	anti-Chalcedonian	anti-chalcedonian				non-Chalcedonian																							http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Anti-Christian		CBSC	anti-Christian	anti-christian																											http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Anti-Hellenism		CBSC	anti-Hellenism	anti-hellenism																																						http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Anti-Jacobite		CBSC	anti-Jacobite	anti-jacobite																																						http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Anti-Judaism		CBSC	anti-Judaism	anti-judaism																																						http://syriaca.org/keyword/ideology				http://syriaca.org/keyword/judaism													http://syriaca.org/keyword/religion													
Anti-Manichaean		CBSC	anti-Manichaean	anti-manichaean																																						http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Anti-Marcionite		CBSC	anti-Marcionite	anti-marcionite																																						http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Anti-Melkite		CBSC	anti-Melkite	anti-melkite																																						http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Anti-Nestorian		CBSC	anti-Nestorian	anti-nestorian																																						http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Antichrist		CBSC	Antichrist	antichrist	http://id.loc.gov/authorities/subjects/sh85005655																										http://syriaca.org/keyword/christianity																												http://syriaca.org/keyword/religion													
Antiochene school		CBSC	Antiochene school	antiochene-school	http://id.loc.gov/authorities/subjects/sh85005723 			antiochian theology	antiochian school																										http://syriaca.org/keyword/education								http://syriaca.org/keyword/institutions																													
Antiphons		CBSC	antiphons	antiphons	http://id.loc.gov/authorities/subjects/sh85005735 																																													http://syriaca.org/keyword/literature																						
Apocalypticism		CBSC	apocalypticism	apocalypticism	http://id.loc.gov/authorities/subjects/sh85006003			apocalyptic literature																																																			http://syriaca.org/keyword/religion													
Apocatastasis		CBSC	apocatastasis	apocatastasis	http://id.loc.gov/authorities/subjects/sh85113274			restorationism																							http://syriaca.org/keyword/christianity																																									
Apologetics		CBSC	apologetics	apologetics	http://id.loc.gov/authorities/subjects/sh85006028			evidences	theological polemics																																																		http://syriaca.org/keyword/religion													
Apostasy		CBSC	apostasy	apostasy	http://id.loc.gov/authorities/subjects/sh85006048			heresy																																																			http://syriaca.org/keyword/religion													
Apostles		CBSC	apostles	apostles	http://id.loc.gov/authorities/subjects/sh85006053			disciples																							http://syriaca.org/keyword/christianity																								http://syriaca.org/keyword/occupations	http://syriaca.org/keyword/persons																
Apostolic succession		CBSC	apostolic succession	apostolic-succession	http://id.loc.gov/authorities/subjects/sh85006060																										http://syriaca.org/keyword/christianity																																									
Arab Christians		CBSC	Arab Christians	arab-christians																																							http://syriaca.org/keyword/institutions																http://syriaca.org/keyword/religion													
Arab conquest		CBSC	Arab conquest	arab-conquest																																		http://syriaca.org/keyword/events																																		
Arabic influence		CBSC	Arabic influence	arabic-influence																												http://syriaca.org/keyword/culture												http://syriaca.org/keyword/intertextuality																												
Arabic language		CBSC	Arabic language, Arabic	arabic-language	http://id.loc.gov/authorities/subjects/sh85006306		ISO 639-1: ar																																								http://syriaca.org/keyword/language																									
Arabs		CBSC	Arabs	arabs	http://id.loc.gov/authorities/subjects/sh85006349			Saracens	Hagarites																												http://syriaca.org/keyword/ethnicity																																			
Archaeology		CBSC	archaeology	archaeology	http://id.loc.gov/authorities/subjects/sh85006507			archeology																															http://syriaca.org/keyword/fields-of-study																																	
Architects		new		architects	http://id.loc.gov/authorities/subjects/sh2002008689			building designer																																															http://syriaca.org/keyword/occupations																	
Architecture		CBSC	architecture	architecture	http://id.loc.gov/authorities/subjects/sh85006611			building design																						http://syriaca.org/keyword/art																																										
Archivists		SPEAR	archivist	archivists	http://id.loc.gov/authorities/subjects/sh85006928			keeper of archives	librarians	notary	registrar							tabularius																																					http://syriaca.org/keyword/occupations																	
Arianism		CBSC	Arianism	arianism	http://id.loc.gov/authorities/subjects/sh85007137																										http://syriaca.org/keyword/christianity																																									
Ark		CBSC	ark	ark				Noah's ark																																						http://syriaca.org/keyword/judaism								http://syriaca.org/keyword/objects																		
Armies		CBSC	army	armies	http://id.loc.gov/authorities/subjects/sh85007309			army	military																			http://syriaca.org/keyword/administration															http://syriaca.org/keyword/institutions																													
Art	category	CBSC	art	art	http://id.loc.gov/authorities/subjects/sh85007461			arts																																																																
Artisans		new		artisans	http://id.loc.gov/authorities/subjects/sh85008265			artist	craftsman	craftswoman	craftsperson																																												http://syriaca.org/keyword/occupations																	
Artistic prose		CBSC	artistic prose	artistic-prose																																														http://syriaca.org/keyword/literature																						
Ascension		CBSC	Ascension	ascension	http://id.loc.gov/authorities/subjects/sh85069965																										http://syriaca.org/keyword/christianity																																									
Asceticism		CBSC	asceticism	asceticism	http://id.loc.gov/authorities/subjects/sh85008537			ascetic																																																			http://syriaca.org/keyword/religion													
Ashitha		CBSC	Ashitha	ashitha																																											http://syriaca.org/keyword/language																									
Assumption		CBSC	Assumption	assumption	http://id.loc.gov/authorities/subjects/sh85081699			Assumption of Mary										transitus Mariae													http://syriaca.org/keyword/christianity																																									
Assyrians		CBSC	Assyrians	assyrians	http://id.loc.gov/authorities/subjects/sh85008832																																http://syriaca.org/keyword/ethnicity						http://syriaca.org/keyword/institutions																													
Astrology		CBSC	astrology	astrology	http://id.loc.gov/authorities/subjects/sh85008893			horoscopy																																																			http://syriaca.org/keyword/religion													
Astronomy		CBSC	astronomy	astronomy	http://id.loc.gov/authorities/subjects/sh85009003																										http://syriaca.org/keyword/christianity								http://syriaca.org/keyword/fields-of-study																																	
Audians		CBSC	Audians	audians																																							http://syriaca.org/keyword/institutions																http://syriaca.org/keyword/religion													
Authority		CBSC	authority	authority	http://id.loc.gov/authorities/subjects/sh85009789			authoritarianism																																																																
Avars		CBSC	Avars	avars	http://id.loc.gov/authorities/subjects/sh85010504			Andis	Ruanruan																												http://syriaca.org/keyword/ethnicity																																			
Bakers		new		bakers	http://id.loc.gov/authorities/subjects/sh2005006563													pistores																																					http://syriaca.org/keyword/occupations																	
Bankers		new		bankers	http://id.loc.gov/authorities/subjects/sh85011595													negotiatores																																					http://syriaca.org/keyword/occupations																	
Baptism		CBSC	baptism	baptism	http://id.loc.gov/authorities/subjects/sh85011718																										http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events								http://syriaca.org/keyword/judaism					http://syriaca.org/keyword/liturgy								http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual												
Baptisteries		CBSC	baptistery	baptisteries	http://id.loc.gov/authorities/subjects/sh85011738																										http://syriaca.org/keyword/christianity																										http://syriaca.org/keyword/places															
Baptists		CBSC	baptists	baptists																											http://syriaca.org/keyword/christianity																												http://syriaca.org/keyword/religion													
Bardesanites		CBSC	Bardesanites	bardesanites																											http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																													
Barwar		CBSC	Barwar	barwar																																											http://syriaca.org/keyword/language																									
Baths		CBSC	baths	baths	http://id.loc.gov/authorities/subjects/sh85012337			gymnasiums																																																	http://syriaca.org/keyword/places															
Behemoth		CBSC	Behemoth	behemoth	http://id.loc.gov/authorities/subjects/sh2006000505																								http://syriaca.org/keyword/animals																																											
Bema		CBSC	Bema	bema																											http://syriaca.org/keyword/christianity																																									
Bible		NHSL	Bible	bible	http://id.loc.gov/authorities/subjects/sh2006000505																																				http://syriaca.org/keyword/genres																	http://syriaca.org/keyword/primaries														
Bible Commentary		NHSL	Bible Commentary	bible-commentary	http://id.loc.gov/authorities/subjects/sh85013597			exegesis	interpretation																																http://syriaca.org/keyword/genres																	http://syriaca.org/keyword/primaries														
Bible Vocalization (Masora)		NHSL	Bible Vocalization (Masora)	bible-vocalization-masora																																																						http://syriaca.org/keyword/primaries											x	Should this be "vocalization" http://id.loc.gov/authorities/subjects/sh2002006453.html + "Bible"? Should it be a genre? NG 11/18/16 for NHSL		
Bibliography		CBSC	bibliography	bibliography	http://id.loc.gov/authorities/subjects/sh85013597			works cited																															http://syriaca.org/keyword/fields-of-study																																	
Bilingualism		CBSC	bilingualism	bilingualism	http://id.loc.gov/authorities/subjects/sh85014030																																												http://syriaca.org/keyword/linguistics																							
Biography		CBSC	biography	biography	http://id.loc.gov/authorities/subjects/sh85014152			biographies	life histories	life history																															http://syriaca.org/keyword/genres																															
Birds		CBSC	birds	birds	http://id.loc.gov/authorities/subjects/sh85014310																								http://syriaca.org/keyword/animals																																											
Birth		CBSC	birth	birth	http://id.loc.gov/authorities/subjects/sh86004053																																	http://syriaca.org/keyword/events																																		
Bishops		CBSC	bishops	bishops	http://id.loc.gov/authorities/subjects/sh85014419			bishop	episcopus	episkopos	episcopal																				http://syriaca.org/keyword/christianity																								http://syriaca.org/keyword/occupations	http://syriaca.org/keyword/persons																
Blacksmiths		new		blacksmiths	http://id.loc.gov/authorities/subjects/sh85014713			ironsmiths	smiths																																														http://syriaca.org/keyword/occupations																	
Blame		CBSC	blame	blame	http://id.loc.gov/authorities/subjects/sh89003476			accuse	fault																											http://syriaca.org/keyword/ethics														http://syriaca.org/keyword/literature													http://syriaca.org/keyword/speech-acts									
Blessing		CBSC	blessing	blessing	http://id.loc.gov/authorities/subjects/sh85013121			benediction																																																			http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual			http://syriaca.org/keyword/speech-acts									
Blood		CBSC	blood	blood	http://id.loc.gov/authorities/subjects/sh85014927																																																	http://syriaca.org/keyword/objects																		
Bnai qyama		CBSC	bnai qyama	bnai-qyama				Sons of the Covenant	Daughters of the covenant	bar qyomo	bat qyomo	bar qyama	bat qyama																		http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																													
Body		CBSC	body	body	http://id.loc.gov/authorities/subjects/sh85015222			corporeal	flesh																																													http://syriaca.org/keyword/objects																		
Bohtan		CBSC	Bohtan	bohtan																																											http://syriaca.org/keyword/language																									
Books		CBSC	books	books	http://id.loc.gov/authorities/subjects/sh85015738			codex	codices																																													http://syriaca.org/keyword/objects														http://syriaca.org/keyword/writing				
Borborites		CBSC	Borborites	borborites																											http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																													
Boundaries		CBSC	boundaries	boundaries	http://id.loc.gov/authorities/subjects/sh85016091			boundary	borders	perimeters																																															http://syriaca.org/keyword/places															
Bread		CBSC	bread	bread	http://id.loc.gov/authorities/subjects/sh85016646			loaf	loaves																																													http://syriaca.org/keyword/objects																		
Breviaries		CBSC	breviary	breviaries	http://id.loc.gov/authorities/subjects/sh85016762			breviary	liturgical book	liturgical books																					http://syriaca.org/keyword/christianity										http://syriaca.org/keyword/genres										http://syriaca.org/keyword/liturgy																					
Buddhism		CBSC	Buddhism	buddhism	http://id.loc.gov/authorities/subjects/sh85017454																																																						http://syriaca.org/keyword/religion													
Builders		new		builders	http://id.loc.gov/authorities/subjects/sh2002008689													structores																																					http://syriaca.org/keyword/occupations																	
Buildings		CBSC	building	buildings	http://id.loc.gov/authorities/subjects/sh85017693			building	construction	edifice																				http://syriaca.org/keyword/art																											http://syriaca.org/keyword/places															
Burial		CBSC	burial	burial	http://id.loc.gov/authorities/subjects/sh85018080			interment																														http://syriaca.org/keyword/events																						http://syriaca.org/keyword/ritual												
Business agents		new		business-agents														pragmateutai																																					http://syriaca.org/keyword/occupations																	
Byzantine church		CBSC	Byzantine church	byzantine-church																											http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																													
Caesars		SPEAR	caesars	caesars																								http://syriaca.org/keyword/administration																											http://syriaca.org/keyword/occupations							http://syriaca.org/keyword/socioeconomic-status										
Calendar		CBSC	calendar	calendar	http://id.loc.gov/authorities/subjects/sh85018851			dates	dating																																										http://syriaca.org/keyword/liturgy																					
Calligraphy		CBSC	calligraphy	calligraphy	http://id.loc.gov/authorities/subjects/sh85018955			writing	hand	hands	handwriting																			http://syriaca.org/keyword/art																																		http://syriaca.org/keyword/techne								
Canon		CBSC	canon	canon	http://id.loc.gov/authorities/subjects/sh85013589			official texts	accepted texts	measure																					http://syriaca.org/keyword/christianity																			http://syriaca.org/keyword/literature																						
Canon law		CBSC	canon law	canon-law	http://id.loc.gov/authorities/subjects/sh85019646			ecclesiastical law	church law	canons of the church																		http://syriaca.org/keyword/administration								http://syriaca.org/keyword/ethics					http://syriaca.org/keyword/genres							http://syriaca.org/keyword/law																								
Cappadocians		CBSC	Cappadocians	cappadocians	http://id.loc.gov/authorities/subjects/sh86001356																																						http://syriaca.org/keyword/institutions																													
Castles		CBSC	castles	castles	http://id.loc.gov/authorities/subjects/sh85020702			fortresses	fortified residence																																																http://syriaca.org/keyword/places															
Catechesis		CBSC	catechesis	catechesis	http://id.loc.gov/authorities/subjects/sh85020981			christian education	catechetics	catechisms	catechetical																				http://syriaca.org/keyword/christianity				http://syriaca.org/keyword/education																http://syriaca.org/keyword/liturgy									http://syriaca.org/keyword/ritual												
Catenae		CBSC	catena	catenae	http://id.loc.gov/authorities/subjects/sh85020995			catena																																										http://syriaca.org/keyword/literature																						
Caves		CBSC	caves	caves	http://id.loc.gov/authorities/subjects/sh85021504			caverns	grottoes	rock shelters	rockshelters																																														http://syriaca.org/keyword/places															
Celibacy		CBSC	celibacy	celibacy	http://id.loc.gov/authorities/subjects/sh85021634			singleness	unmarried																											http://syriaca.org/keyword/ethics																							http://syriaca.org/keyword/religion													
Chaldeans		CBSC	Chaldeans	chaldeans	http://id.loc.gov/authorities/subjects/sh85022386																										http://syriaca.org/keyword/christianity						http://syriaca.org/keyword/ethnicity						http://syriaca.org/keyword/institutions																													
Chalices		CBSC	chalice	chalices	http://id.loc.gov/authorities/subjects/sh85022389			communion cups																							http://syriaca.org/keyword/christianity																							http://syriaca.org/keyword/objects																		
Charity		CBSC	charity, alms	charity	http://id.loc.gov/authorities/subjects/sh85022672			alms	almsgiving									caritas																		http://syriaca.org/keyword/ethics																							http://syriaca.org/keyword/religion													
Cheirograph		CBSC	cheirograph	cheirograph																								http://syriaca.org/keyword/administration			http://syriaca.org/keyword/christianity																			http://syriaca.org/keyword/literature																						
Chemistry		CBSC	chemistry	chemistry	http://id.loc.gov/authorities/subjects/sh85022986																														http://syriaca.org/keyword/education				http://syriaca.org/keyword/fields-of-study																																	
Children		CBSC	children	children	http://id.loc.gov/authorities/subjects/sh85023418			youths	kids	childhood	youngsters																																													http://syriaca.org/keyword/persons																
Chiliasm		CBSC	chiliasm	chiliasm	http://id.loc.gov/authorities/subjects/sh85085387			millenarianism	millennianism	millennialism																					http://syriaca.org/keyword/christianity																																									
Christian Arabic		CBSC	Christian Arabic	christian-arabic	http://id.loc.gov/authorities/subjects/sh92002120																																										http://syriaca.org/keyword/language																									
Christian Palestinian Aramaic		CBSC	Christian Palestinian Aramaic	christian-palestinian-aramaic				CPA																																							http://syriaca.org/keyword/language																									
Christianity	category	CBSC	Christianity	christianity	http://id.loc.gov/authorities/subjects/sh85025219			Jesus movement	Jesus movements																																																		http://syriaca.org/keyword/religion													
Christianization		CBSC	Christianization	christianization	http://id.loc.gov/authorities/subjects/sh2009118745			conversion to Christianity																							http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																																		
Christology		CBSC	Christology	christology	http://id.loc.gov/authorities/subjects/sh91004806																										http://syriaca.org/keyword/christianity																																									
Chronicles		CBSC	chronicles	chronicles																																														http://syriaca.org/keyword/literature																						
Chronology		CBSC	chronology	chronology	http://id.loc.gov/authorities/subjects/sh85025406			eras																																																									http://syriaca.org/keyword/time							
Churches		CBSC	churches	churches	http://id.loc.gov/authorities/subjects/sh85025854			church buildings																							http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions														http://syriaca.org/keyword/places															
Circumcision		CBSC	circumcision	circumcision	http://id.loc.gov/authorities/subjects/sh85026074			foreskin removal																																						http://syriaca.org/keyword/judaism													http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual												
Cities		CBSC	cities	cities	http://id.loc.gov/authorities/subjects/sh85026130			city	town	settlement	municipality																																														http://syriaca.org/keyword/places															
Civil law		new		civil-law																								http://syriaca.org/keyword/administration																				http://syriaca.org/keyword/law																								
Civil servants		SPEAR	civil servants	civil-servants	http://id.loc.gov/authorities/subjects/sh85026387			bureaucrats	government service	public service																		http://syriaca.org/keyword/administration																																												
Classical Syriac		CBSC	Classical Syriac	classical-syriac			ISO 639-2: syc																																								http://syriaca.org/keyword/language																									
Clergy		CBSC	clergy	clergy	http://id.loc.gov/authorities/subjects/sh85026944			clerics	pastors	clergymen	ministers																																http://syriaca.org/keyword/institutions												http://syriaca.org/keyword/occupations				http://syriaca.org/keyword/religion													
Codicology		CBSC	codicology	codicology	http://id.loc.gov/authorities/subjects/sh97008489			manuscriptology																															http://syriaca.org/keyword/fields-of-study																													http://syriaca.org/keyword/writing				
Coenobites		CBSC	coenobites	coenobites	http://id.loc.gov/authorities/subjects/sh2010012446			cenobites																							http://syriaca.org/keyword/christianity																						http://syriaca.org/keyword/monasticism		http://syriaca.org/keyword/occupations																	
Coins		CBSC	coins	coins	http://id.loc.gov/authorities/subjects/sh85027797																													http://syriaca.org/keyword/economics																				http://syriaca.org/keyword/objects																		
Colophons		CBSC	colophons	colophons	http://id.loc.gov/authorities/subjects/sh85028575			colophons of manuscripts																																										http://syriaca.org/keyword/literature																		http://syriaca.org/keyword/writing				
Colours		CBSC	colours	colours	http://id.loc.gov/authorities/subjects/sh85028700			colors																																														http://syriaca.org/keyword/objects																		
Comes		SPEAR	comes	comes																								http://syriaca.org/keyword/administration																											http://syriaca.org/keyword/occupations							http://syriaca.org/keyword/socioeconomic-status										
Commandments		CBSC	commandments	commandments																							Used for Old Testament law in general as well as specific subsets of that law such as the Ten Commandments.																					http://syriaca.org/keyword/law											http://syriaca.org/keyword/religion													
Commemoration		CBSC	commemoration	commemoration	http://id.loc.gov/authorities/subjects/sh85116632																																																								http://syriaca.org/keyword/sanctity											
Commentary		CBSC	commentary	commentary	http://id.loc.gov/authorities/subjects/sh99001957			commentaries																																										http://syriaca.org/keyword/literature																						
Comparative		CBSC	comparative	comparative																																								http://syriaca.org/keyword/intertextuality						http://syriaca.org/keyword/literature																						
Concordance		CBSC	concordance	concordance	http://id.loc.gov/authorities/subjects/sh85030642			word indexes	word indices																																http://syriaca.org/keyword/genres									http://syriaca.org/keyword/literature																						
Confession		CBSC	confession	confession	http://id.loc.gov/authorities/subjects/sh85030904																																																						http://syriaca.org/keyword/religion				http://syriaca.org/keyword/speech-acts									
Confessors		SPEAR	confessors	confessors																											http://syriaca.org/keyword/christianity																									http://syriaca.org/keyword/persons			http://syriaca.org/keyword/religion		http://syriaca.org/keyword/sanctity											
Confirmation		CBSC	confirmation	confirmation	http://id.loc.gov/authorities/subjects/sh85030947																										http://syriaca.org/keyword/christianity				http://syriaca.org/keyword/education																																					
Contractors		new		contractors														redemptores									Used of people who enter into a contract to perform a job or task.																												http://syriaca.org/keyword/occupations																	
Conversion		CBSC	conversion	conversion	http://id.loc.gov/authorities/subjects/sh85031702			religious conversion																																																			http://syriaca.org/keyword/religion													
Cooks		new		cooks				chefs	food preparers									cocus																																					http://syriaca.org/keyword/occupations																	
Coptic language		new		coptic-language			ISO 639-2: cop																																																																	
Copts		CBSC	Copts	copts	http://id.loc.gov/authorities/subjects/sh85032431			Egyptian Christians																													http://syriaca.org/keyword/ethnicity						http://syriaca.org/keyword/institutions																													
Cosmogony		CBSC	cosmogony	cosmogony	http://id.loc.gov/authorities/subjects/sh85033158																																		http://syriaca.org/keyword/fields-of-study																																	
